,uri,count,name,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
5329,spotify:track:7iHHxY2NLlJRAmlAmC4ahQ,16,Stuck In A Dream (feat. Gunna),2019-11-08,83,True,0.748,0.648,10,-6.445,0,0.0816,0.484,0.0,0.126,0.726,139.952,audio_features,7iHHxY2NLlJRAmlAmC4ahQ,https://api.spotify.com/v1/tracks/7iHHxY2NLlJRAmlAmC4ahQ,https://api.spotify.com/v1/audio-analysis/7iHHxY2NLlJRAmlAmC4ahQ,123560,4
5330,spotify:track:73SpzrcaHk0RQPFP73vqVR,57,No Time To Die,2020-02-13,89,False,0.38,0.219,4,-13.273,0,0.0358,0.917,0.0104,0.0827,0.0517,73.537,audio_features,73SpzrcaHk0RQPFP73vqVR,https://api.spotify.com/v1/tracks/73SpzrcaHk0RQPFP73vqVR,https://api.spotify.com/v1/audio-analysis/73SpzrcaHk0RQPFP73vqVR,242265,4
5331,spotify:track:6CcJMwBtXByIz4zQLzFkKc,29,i love you,2019-03-29,85,False,0.421,0.131,0,-18.435,1,0.0382,0.952,0.00453,0.109,0.12,137.446,audio_features,6CcJMwBtXByIz4zQLzFkKc,https://api.spotify.com/v1/tracks/6CcJMwBtXByIz4zQLzFkKc,https://api.spotify.com/v1/audio-analysis/6CcJMwBtXByIz4zQLzFkKc,291796,4
5332,spotify:track:0q0Vsy1SHdUSrR7TJGNAVn,13,molly,2019-05-22,75,True,0.695,0.566,6,-7.484,0,0.124,0.00202,0.0,0.167,0.388,80.029,audio_features,0q0Vsy1SHdUSrR7TJGNAVn,https://api.spotify.com/v1/tracks/0q0Vsy1SHdUSrR7TJGNAVn,https://api.spotify.com/v1/audio-analysis/0q0Vsy1SHdUSrR7TJGNAVn,175569,4
5333,spotify:track:0J69x3mqm7U6tBPKsjpsWR,11,"Dear Maria, Count Me In",2007-09-25,72,False,0.465,0.896,2,-3.126,1,0.0795,0.00725,0.0,0.206,0.569,181.014,audio_features,0J69x3mqm7U6tBPKsjpsWR,https://api.spotify.com/v1/tracks/0J69x3mqm7U6tBPKsjpsWR,https://api.spotify.com/v1/audio-analysis/0J69x3mqm7U6tBPKsjpsWR,182827,4
5335,spotify:track:4uu7gKd1PffC7QEMcMk0Ro,6,One Take,2019-10-11,71,True,0.76,0.615,5,-9.36,0,0.33,0.072,0.0,0.0571,0.351,148.014,audio_features,4uu7gKd1PffC7QEMcMk0Ro,https://api.spotify.com/v1/tracks/4uu7gKd1PffC7QEMcMk0Ro,https://api.spotify.com/v1/audio-analysis/4uu7gKd1PffC7QEMcMk0Ro,168653,4
5337,spotify:track:6Hj9jySrnFppAI0sEMCZpJ,40,Robbery,2019-03-08,87,True,0.685,0.692,2,-5.122,1,0.0457,0.328,0.0,0.153,0.578,159.966,audio_features,6Hj9jySrnFppAI0sEMCZpJ,https://api.spotify.com/v1/tracks/6Hj9jySrnFppAI0sEMCZpJ,https://api.spotify.com/v1/audio-analysis/6Hj9jySrnFppAI0sEMCZpJ,240051,5
5340,spotify:track:5bvnqVuq7UFl0txSlHpsfS,29,LOYAL (feat. Drake),2019-11-22,76,False,0.866,0.53,0,-6.347,0,0.0495,0.517,0.00159,0.0946,0.203,104.952,audio_features,5bvnqVuq7UFl0txSlHpsfS,https://api.spotify.com/v1/tracks/5bvnqVuq7UFl0txSlHpsfS,https://api.spotify.com/v1/audio-analysis/5bvnqVuq7UFl0txSlHpsfS,197973,4
5345,spotify:track:4e0FYxSROat25pH16zMTZI,16,Love Me,2019-08-30,81,True,0.719,0.538,11,-6.897,0,0.28,0.632,0.0,0.135,0.803,204.132,audio_features,4e0FYxSROat25pH16zMTZI,https://api.spotify.com/v1/tracks/4e0FYxSROat25pH16zMTZI,https://api.spotify.com/v1/audio-analysis/4e0FYxSROat25pH16zMTZI,117013,4
5347,spotify:track:5pBQDRgfbV6lhuwlvWEftN,10,Good Day,2020-01-24,75,True,0.715,0.639,9,-6.947,1,0.105,0.627,0.0,0.0905,0.443,82.466,audio_features,5pBQDRgfbV6lhuwlvWEftN,https://api.spotify.com/v1/tracks/5pBQDRgfbV6lhuwlvWEftN,https://api.spotify.com/v1/audio-analysis/5pBQDRgfbV6lhuwlvWEftN,116364,4
5354,spotify:track:2v5JTeM6hSmi5wWy7jiwrI,9,I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),2019-01-31,76,True,0.741,0.845,5,-3.568,0,0.0381,0.15,0.0,0.174,0.926,129.939,audio_features,2v5JTeM6hSmi5wWy7jiwrI,https://api.spotify.com/v1/tracks/2v5JTeM6hSmi5wWy7jiwrI,https://api.spotify.com/v1/audio-analysis/2v5JTeM6hSmi5wWy7jiwrI,233613,4
5356,spotify:track:7lGKEWMXVWWTt3X71Bv44I,8,Unsteady,2015-06-30,78,False,0.389,0.665,0,-6.169,1,0.0644,0.178,0.000732,0.116,0.199,117.055,audio_features,7lGKEWMXVWWTt3X71Bv44I,https://api.spotify.com/v1/tracks/7lGKEWMXVWWTt3X71Bv44I,https://api.spotify.com/v1/audio-analysis/7lGKEWMXVWWTt3X71Bv44I,193547,4
5357,spotify:track:0APAKxMXB7jdDs4kw1l30y,17,OK,2020-03-20,73,True,0.72,0.625,7,-6.274,1,0.0362,0.0112,0.0076,0.0999,0.818,102.006,audio_features,0APAKxMXB7jdDs4kw1l30y,https://api.spotify.com/v1/tracks/0APAKxMXB7jdDs4kw1l30y,https://api.spotify.com/v1/audio-analysis/0APAKxMXB7jdDs4kw1l30y,193293,4
5359,spotify:track:1kqc6U8hVYZhY0gFGQclCz,10,girls,2018-06-08,72,False,0.515,0.449,5,-14.468,1,0.0337,0.227,0.0357,0.171,0.792,149.966,audio_features,1kqc6U8hVYZhY0gFGQclCz,https://api.spotify.com/v1/tracks/1kqc6U8hVYZhY0gFGQclCz,https://api.spotify.com/v1/audio-analysis/1kqc6U8hVYZhY0gFGQclCz,198400,4
5361,spotify:track:1DWZUa5Mzf2BwzpHtgbHPY,41,Good News,2020-01-17,80,False,0.794,0.32,1,-12.92,0,0.173,0.853,0.134,0.112,0.241,174.088,audio_features,1DWZUa5Mzf2BwzpHtgbHPY,https://api.spotify.com/v1/tracks/1DWZUa5Mzf2BwzpHtgbHPY,https://api.spotify.com/v1/audio-analysis/1DWZUa5Mzf2BwzpHtgbHPY,342040,4
5363,spotify:track:2H3wWrnO758y0fPH7Ilerg,9,Depression & Obsession,2017-08-25,74,True,0.769,0.156,11,-10.7,0,0.035,0.585,0.015,0.102,0.527,105.95,audio_features,2H3wWrnO758y0fPH7Ilerg,https://api.spotify.com/v1/tracks/2H3wWrnO758y0fPH7Ilerg,https://api.spotify.com/v1/audio-analysis/2H3wWrnO758y0fPH7Ilerg,144733,4
5364,spotify:track:5BJVxZaNRrqjHwYpGcH3Yq,6,Devil Town,2015-11-09,72,False,0.577,0.758,3,-8.166,1,0.0586,0.122,0.0,0.121,0.493,99.969,audio_features,5BJVxZaNRrqjHwYpGcH3Yq,https://api.spotify.com/v1/tracks/5BJVxZaNRrqjHwYpGcH3Yq,https://api.spotify.com/v1/audio-analysis/5BJVxZaNRrqjHwYpGcH3Yq,179955,4
5365,spotify:track:6p8eEdiZLKJH8tcjGZuNTK,23,Run,2020-02-06,81,False,0.447,0.72,7,-3.954,1,0.0332,0.0416,0.000297,0.614,0.362,157.892,audio_features,6p8eEdiZLKJH8tcjGZuNTK,https://api.spotify.com/v1/tracks/6p8eEdiZLKJH8tcjGZuNTK,https://api.spotify.com/v1/audio-analysis/6p8eEdiZLKJH8tcjGZuNTK,195000,3
5368,spotify:track:1Ic9pKxGSJGM0LKeqf6lGe,9,All Apologies,1993-09-21,68,False,0.446,0.632,1,-12.197,1,0.034,0.0793,0.000266,0.0881,0.359,113.176,audio_features,1Ic9pKxGSJGM0LKeqf6lGe,https://api.spotify.com/v1/tracks/1Ic9pKxGSJGM0LKeqf6lGe,https://api.spotify.com/v1/audio-analysis/1Ic9pKxGSJGM0LKeqf6lGe,233173,4
5369,spotify:track:1xcOYJxDa5pObgxY1r0I9c,12,I'm Sorry,2020-03-06,77,True,0.858,0.547,1,-5.822,1,0.29,0.213,0.0,0.104,0.304,128.02,audio_features,1xcOYJxDa5pObgxY1r0I9c,https://api.spotify.com/v1/tracks/1xcOYJxDa5pObgxY1r0I9c,https://api.spotify.com/v1/audio-analysis/1xcOYJxDa5pObgxY1r0I9c,211883,4
5370,spotify:track:6cjSh516BbrNUs213jDAGm,22,Graduation (with Juice WRLD),2019-08-30,81,True,0.731,0.65,0,-5.286,1,0.271,0.107,0.0,0.124,0.605,154.968,audio_features,6cjSh516BbrNUs213jDAGm,https://api.spotify.com/v1/tracks/6cjSh516BbrNUs213jDAGm,https://api.spotify.com/v1/audio-analysis/6cjSh516BbrNUs213jDAGm,177847,4
5371,spotify:track:2nC3QhMI9reBIOWutbU3Tj,39,Moral of the Story,2019-02-14,89,True,0.572,0.406,10,-8.624,1,0.0427,0.587,4.48e-06,0.102,0.265,119.812,audio_features,2nC3QhMI9reBIOWutbU3Tj,https://api.spotify.com/v1/tracks/2nC3QhMI9reBIOWutbU3Tj,https://api.spotify.com/v1/audio-analysis/2nC3QhMI9reBIOWutbU3Tj,201084,4
5372,spotify:track:0WKmVAD4VWk5EdTyCFILi4,20,Needs,2018-02-14,78,False,0.813,0.601,11,-7.552,0,0.116,0.189,0.0002,0.426,0.855,118.981,audio_features,0WKmVAD4VWk5EdTyCFILi4,https://api.spotify.com/v1/tracks/0WKmVAD4VWk5EdTyCFILi4,https://api.spotify.com/v1/audio-analysis/0WKmVAD4VWk5EdTyCFILi4,177479,4
5373,spotify:track:3XiNC94b4Tq1xwv70sQJGN,25,Sanguine Paradise,2019-04-09,81,True,0.729,0.603,6,-6.736,0,0.0666,0.0948,0.0,0.113,0.207,134.972,audio_features,3XiNC94b4Tq1xwv70sQJGN,https://api.spotify.com/v1/tracks/3XiNC94b4Tq1xwv70sQJGN,https://api.spotify.com/v1/audio-analysis/3XiNC94b4Tq1xwv70sQJGN,243976,4
5374,spotify:track:2NyrXRn4tancYPW6JwtTl2,9,From The D To The A (feat. Lil Yachty),2017-03-17,71,True,0.851,0.625,10,-5.417,0,0.303,0.195,0.0,0.266,0.668,99.061,audio_features,2NyrXRn4tancYPW6JwtTl2,https://api.spotify.com/v1/tracks/2NyrXRn4tancYPW6JwtTl2,https://api.spotify.com/v1/audio-analysis/2NyrXRn4tancYPW6JwtTl2,158684,4
5375,spotify:track:7zLYKWcXnYeHHWidalz7rj,22,Noticed,2018-10-19,83,True,0.699,0.558,11,-7.622,1,0.0603,0.462,0.0,0.116,0.493,79.992,audio_features,7zLYKWcXnYeHHWidalz7rj,https://api.spotify.com/v1/tracks/7zLYKWcXnYeHHWidalz7rj,https://api.spotify.com/v1/audio-analysis/7zLYKWcXnYeHHWidalz7rj,165000,4
5376,spotify:track:2BoeDIEzoS9diuyaqqVaDh,5,Faygo Dreams,2017-07-03,69,True,0.748,0.66,6,-4.704,1,0.0487,0.224,0.053,0.101,0.328,137.033,audio_features,2BoeDIEzoS9diuyaqqVaDh,https://api.spotify.com/v1/tracks/2BoeDIEzoS9diuyaqqVaDh,https://api.spotify.com/v1/audio-analysis/2BoeDIEzoS9diuyaqqVaDh,171907,4
5378,spotify:track:35r28RDot7nPE7y9K9H7l0,18,Feeling Whitney,2016-12-09,77,True,0.412,0.227,0,-12.696,1,0.0359,0.787,4.69e-06,0.282,0.226,80.111,audio_features,35r28RDot7nPE7y9K9H7l0,https://api.spotify.com/v1/tracks/35r28RDot7nPE7y9K9H7l0,https://api.spotify.com/v1/audio-analysis/35r28RDot7nPE7y9K9H7l0,257267,4
5379,spotify:track:1vvBUZseJ7fwYPX1NedOLd,10,Cha Cha,2019-03-22,73,True,0.792,0.698,1,-6.364,1,0.172,0.489,0.0788,0.127,0.751,129.971,audio_features,1vvBUZseJ7fwYPX1NedOLd,https://api.spotify.com/v1/tracks/1vvBUZseJ7fwYPX1NedOLd,https://api.spotify.com/v1/audio-analysis/1vvBUZseJ7fwYPX1NedOLd,173938,4
5380,spotify:track:7gVwgc8b3XnO87TpmXXFA5,29,Diva (feat. Lil Tecca),2020-01-31,81,True,0.686,0.703,6,-6.141,0,0.0606,0.00728,0.0,0.0946,0.457,144.902,audio_features,7gVwgc8b3XnO87TpmXXFA5,https://api.spotify.com/v1/tracks/7gVwgc8b3XnO87TpmXXFA5,https://api.spotify.com/v1/audio-analysis/7gVwgc8b3XnO87TpmXXFA5,172005,4
5381,spotify:track:3ZhTT6yjZwpPph5MIJ53XY,14,Red Roses (feat. Landon Cube),2017-12-12,76,True,0.691,0.683,0,-7.335,1,0.0954,0.547,0.0,0.221,0.456,140.002,audio_features,3ZhTT6yjZwpPph5MIJ53XY,https://api.spotify.com/v1/tracks/3ZhTT6yjZwpPph5MIJ53XY,https://api.spotify.com/v1/audio-analysis/3ZhTT6yjZwpPph5MIJ53XY,262544,4
5383,spotify:track:6TodWdTSDfzwgYynTZSvJn,18,Midsummer Madness,2018-07-20,77,True,0.409,0.678,9,-7.731,1,0.0878,0.359,4.76e-06,0.167,0.168,89.968,audio_features,6TodWdTSDfzwgYynTZSvJn,https://api.spotify.com/v1/tracks/6TodWdTSDfzwgYynTZSvJn,https://api.spotify.com/v1/audio-analysis/6TodWdTSDfzwgYynTZSvJn,280842,4
5384,spotify:track:3f9Mzvd3URfbbIJBX4pz9Z,35,Phone Numbers,2019-07-04,75,True,0.884,0.539,1,-6.389,0,0.208,0.239,0.0,0.0805,0.776,85.008,audio_features,3f9Mzvd3URfbbIJBX4pz9Z,https://api.spotify.com/v1/tracks/3f9Mzvd3URfbbIJBX4pz9Z,https://api.spotify.com/v1/audio-analysis/3f9Mzvd3URfbbIJBX4pz9Z,146827,4
5386,spotify:track:2alc8VZAzDgdAsL2QMk3hu,32,Skechers,2020-01-12,91,True,0.903,0.327,1,-9.727,1,0.0877,0.26,0.011,0.108,0.274,100.008,audio_features,2alc8VZAzDgdAsL2QMk3hu,https://api.spotify.com/v1/tracks/2alc8VZAzDgdAsL2QMk3hu,https://api.spotify.com/v1/audio-analysis/2alc8VZAzDgdAsL2QMk3hu,106000,4
