,name,total,uri
127,quarantine & chill,75,spotify:playlist:5vRWKNEJvoptQ5QCzZx9Y8
128,Quarantine 2020,9,spotify:playlist:2Qe5pkAHFgoYL1jBvsPhRR
129,#QUARANTINEnCHILL,71,spotify:playlist:7AVSTbtEs5ol11C4FD2U6F
130,It's A Quarantine Thing,47,spotify:playlist:4LmB3uyFkwEvMqkIGbEeC6
131,Quarantine Covers,4,spotify:playlist:5UCRu4nqSDpZoNAx7ZCZKz
132,Music For Quarantine,18,spotify:playlist:7k4SvHpt2cF0GeIUvFP0WO
133,Flora Cash Quarantine Songs,183,spotify:playlist:1L10NVoDdHiqFpae6lbVzv
134,MY LIT QUARANTINE PLAYLIST 🔥,19,spotify:playlist:1lflYdTNzZquJByqeVtZ8Y
135,Gentleman's Quarantine,50,spotify:playlist:1emVqcuphvJkQNNSGXOQKk
136,quarantined & it's ok,25,spotify:playlist:0dWDcXZhJtg3xv73wTakvZ
137,quarantine upbeat blues ,42,spotify:playlist:0lnLBGVPuOjQGLt6gH8Rck
138,Quarantine Matcha,233,spotify:playlist:4Ki9FvhLmPCjFM3XFfBdzu
139,QUARANTINE,102,spotify:playlist:2nkHZ5J9nKbfQONRrqfLXK
140,Hard Livin’ Quarantine,612,spotify:playlist:4FwISlsOyMdcpmQRV7z0Bs
141,QUARANTUNES 5/18,132,spotify:playlist:14YTD8PFX5To2xBQhgJIZ4
142,QUARANTINE,29,spotify:playlist:1tFbc2IU6vawEREsYmdmDZ
143,Sex after quarantine 💥🤤,102,spotify:playlist:7a6MHnq9BtYE0q5sWGYp3C
144,Best Quarantine Lofi 2020,103,spotify:playlist:61lXfWkDJJTsnJMzPyqJD9
145,Quarantine Radio,11,spotify:playlist:7o0HkytgrwizklHr2wqdeK
146,Quarantine ,181,spotify:playlist:4G0UY6USxADSfUgVciSwky
147,Calm Yourself During Quarantine,30,spotify:playlist:5EkRSMKOJQ3t5FqbU64Vy9
148,The Corona Quarantine | Sweat It Out Workout,44,spotify:playlist:1LLUwymPPsEmao6NB0FCK1
149,Cinco De Mayo Quarantine Party ,50,spotify:playlist:76BzhJSC01gAIezeVYPtIu
150,while in quarantine,97,spotify:playlist:6lmPHmNfAZGDd1fLfFUIsE
151,QUARANTINE 2020 🦠,359,spotify:playlist:3zdnjVHkpCPN1QYn8SR7zA
152,Quarantine,346,spotify:playlist:0Ktu88L4wZVfoqPTivcNNn
153,Quarantine Karaoke 🎤,879,spotify:playlist:6mAec9i2QSSp6npxeLZUkH
154, ,40,spotify:playlist:37cjx4SST8aVCo8p4pCQIQ
155,SiR Essentials ⚡️,34,spotify:playlist:3lCibnEElAyFt303KaTdcs
156,Quarantine Bangers,35,spotify:playlist:2JmOuPC6rOYtlsxIXZ9Bmf
157,"Shakira, Jlo - Super Bowl 🏟  Quarantine edition 👑",40,spotify:playlist:6ullS7RYpm91nn39M5jkoA
158,quarantine ,212,spotify:playlist:1xQqU3r7j8Bqv0WSiw9Xzc
159,GETTING READY | BAD BITCH | GIRL POWER WORKOUT MOTIVATION | SELF ISOLATION | QUARANTINE PARTY,157,spotify:playlist:0Q6GQqTI6SjueDRtqHyhkU
160,🚨QUARANTINE PLAYLIST 🚨,48,spotify:playlist:7CLS1t4ZpBrvQG4kvBEVPt
161,ITS CORONA TIME - Quarantine Music,45,spotify:playlist:7kleicR7M12tImioJn9do5
162,Quarantine n' Chill v. 1,25,spotify:playlist:2J7TnlMcinSOTs2OjgLAH5
163,Quarantine Rave,142,spotify:playlist:2zDdHsuN1urkMjh7PY6BY8
164,quarantine lyfe,226,spotify:playlist:56gjwtQpOGG65Os4CE9z3P
165,Questlove quarantine DJ session ,28,spotify:playlist:4acihlrl2CBieAYNaydU3a
166,AFTER QUARANTINE 🦠,41,spotify:playlist:3sbPaWC9YkjnczEITZcwF5
167, ,40,spotify:playlist:7BxZggPQiHJ5DqG5bezY1h
168,Quarantine Vibes,65,spotify:playlist:7bmjUE0JPPAk4rbWg4THv8
169,Paula's Quarantine Playlist,26,spotify:playlist:77YkzBOhBysWW3aexP15Th
170,Quarantine bops,103,spotify:playlist:6O5tKbOwirn5h2RHZ5AWmh
171,Liquid Drum and Bass,75,spotify:playlist:5ABMzUESx7K7EyowE5kFCl
172,The Score - Quarantine Essentials,34,spotify:playlist:4lMX98V0rasxolJJ4EOOwZ
173,MOTIVATION QUARANTINE EDITION,43,spotify:playlist:5kNo2T1VhJI1L7GG1b6Egt
174,quarantine ,58,spotify:playlist:5ckH8fKVLYj8d5FjrJDYF9
175,Lofi lockdown - relaxing lofi chill hop while in COVID-19 quarantine,216,spotify:playlist:7Frl2wr2hyco5xLzGJEjU3
176,Music To Be Quarantined By,39,spotify:playlist:6MNGpzHVH0UresmjggQ39Y
177,Twerk Playlist: COVID Quarantine Edition (  Y  ),163,spotify:playlist:06d77Yrd43IgMmzat7ldkG
178,home quarantine,22,spotify:playlist:4G70YALXAVo7qC5RziGrOm
179,Burgerkill Quarantine Playlist,9,spotify:playlist:1B3Ni1MT4T5FM50ShQ7oy4
180,QUARANTINE MUSIC FESTIVAL ,26,spotify:playlist:613pnllPIEMZahfrFC3tc1
181,Club Quarantine : DNice,37,spotify:playlist:0N3wIOmUIFPBdn4fU8zEqM
182,Quarantine Steps for 25,64,spotify:playlist:6nt5EGT9KHjsRn897U7w1K
183,quarantine jams,32,spotify:playlist:7JjQHRX5WfuLMKoNQ0MBnE
184,Together Alone: Music for Quarantine,62,spotify:playlist:0QZ0C4S11CpX29J5D6QULQ
185,COVID19 Quarantine Party,116,spotify:playlist:6l09c9xwHpoDgnKBSCd48F
186,Inti Aatalu,55,spotify:playlist:37i9dQZF1DWUWcQyeVUGn2
187,James Arthur - Quarantine Tunes,78,spotify:playlist:1ut7oPihAjC5dhevHtHd2M
188,BLACKPINK’s Quarantine Playlist,8,spotify:playlist:0Zu54Qat4CzuhSXUK549wB
189,Quarantine Rock,35,spotify:playlist:36CiqMermHnuYiflgOcbxg
190,a side // Quarantine,162,spotify:playlist:782qGtWYmvwOdS8JXQ6tXu
191,Apéro au Soleil,13,spotify:playlist:1EduVO7R3WlmrcFiCu0U8T
192,quarantine cookin,20,spotify:playlist:6Tc4K5QIMJKemoPtwlEXO1
193,Team Zoella Quarantine Playlist,231,spotify:playlist:2rMPpPgccZTxFiMOAvBz7C
194,songs to vibe to during quarantine,210,spotify:playlist:3Nj1niqya6wF2SPxPxmlBG
195,songs to listen during quarantine and pretend like i'm fine ,81,spotify:playlist:0RLm66ZJSw6KO8ZBB8Ebdf
196,Covid19 quarantine bangers,99,spotify:playlist:7s7Qvwtm9Ll0r0OBWgjLb0
197, COVID-19 Quarantine Party,228,spotify:playlist:1ggca4HcbFPQBPTGRNPtph
198,Quarantine Lofi | Beats to relax and focus,100,spotify:playlist:4wXJ2AioptibqIgmZZctBn
199,quarantine & chill ,79,spotify:playlist:5cue6N5Sv5G5Ob2nX6aj93
200,BLACKPINK Playlist for Quarantine,8,spotify:playlist:4bP3bNNY69eaf3d09L75HD
201,Refugio (Quarantine Edition),39,spotify:playlist:1t1HlJs95Grlac7L3wFY3z
202,Quarantine and chill,75,spotify:playlist:60ta9o9bxnjL4l2r2GtRR3
203,Songs for the Quarantine,107,spotify:playlist:74C958uqPu9frMOAaEnM8E
204,all by myself - corona quarantine,164,spotify:playlist:3QABZqeQjI6TePPdIeQgXy
205,Quarantine Supreme ,66,spotify:playlist:041HmKXsCyy5LXgSSgHgcn
206,"SUMMER VIBES 2020 | Deep House, Quarantine Hits, EDM, Verano, Verão, Estate, Sommer, Zomer",122,spotify:playlist:4PhHZnzpIe3HtQ3MYntH3u
207,quarantine prom,50,spotify:playlist:3ltNJQP2OVr05tO3ZJ6WNZ
208,DJ D-Nice #QuarantineParty #HomeSchool,296,spotify:playlist:52maolRQNxES6DfQqFUx5w
209,Quarantine Vibing,19,spotify:playlist:0nEJORAo40W5Bb9JZDXe7s
210,Quarantine toddler dance party,65,spotify:playlist:1q524rBq7EaD6dw5WpxWCw
211,Quarantine and Chill COVID-19 - Beats to Wash Your Hands to,81,spotify:playlist:5xb5fDH0tODTgt8UIIZka2
212,Sad Song Vibes | in my feelings,176,spotify:playlist:6bt3Hj7fNPsJDj0M2CVmFn
213,CORONA VIRUS Covid-19 Quarantine Party Playlist,124,spotify:playlist:6EMaBkPlYrRftkKoQ7iU2E
214,COVID-19 Quarantine Party,52,spotify:playlist:0oGgmiFakEi5xY1aXC24g5
215,Saturday Night Quarantine Dance Party,88,spotify:playlist:3v7awpBvwgnBKmXlIVKiU0
216,Sunset House 🌴 Deep House Vibes 🌴 Night Rider 🌴 Late Car Drive 🌴 Quarantined SUN1197 🌴 Relax,108,spotify:playlist:10DBmhHUp7GFe3lw1MkKNs
217,QUARANTINE AND CHILL,220,spotify:playlist:0e8eGTgxQiKHYsKV3OQQKx
218,LET'S QUARANTINE,19,spotify:playlist:4iCgw8lWh6gMWciOZIJ2dv
219,Quarantine 💕,14,spotify:playlist:3B2SeJuH4enfIcAZ6aRYoZ
220,quarantine vibes,49,spotify:playlist:4W9qcE2FY8Ofxg6ynuPZsB
221,Quarantine & Chill | R&B Playlist,80,spotify:playlist:46uhHzy4qT6aNdAtlh3JNe
222,corona quarantine days,64,spotify:playlist:6C0n7snoMc656ttESes4ck
