,acousticness,analysis_url,count,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,time_signature,track_href,type,uri,valence
8680,0.161,https://api.spotify.com/v1/audio-analysis/11xRCe6bPQ9fRhz70dqF9N,5,0.593,190318,0.563,False,11xRCe6bPQ9fRhz70dqF9N,1.66e-05,9,0.0675,-6.409,0,Happy Man,50,2018-05-08,0.0326,108.014,4,https://api.spotify.com/v1/tracks/11xRCe6bPQ9fRhz70dqF9N,audio_features,spotify:track:11xRCe6bPQ9fRhz70dqF9N,0.141
8686,0.149,https://api.spotify.com/v1/audio-analysis/5nPdMALTEd7HOjn16oNf2X,5,0.729,275440,0.844,False,5nPdMALTEd7HOjn16oNf2X,2.87e-06,5,0.0604,-8.824,1,Don't Go Breaking My Heart,17,1975-10-24,0.0344,131.459,4,https://api.spotify.com/v1/tracks/5nPdMALTEd7HOjn16oNf2X,audio_features,spotify:track:5nPdMALTEd7HOjn16oNf2X,0.777
8697,0.292,https://api.spotify.com/v1/audio-analysis/0bRXwKfigvpKZUurwqAlEh,7,0.69,254560,0.651,False,0bRXwKfigvpKZUurwqAlEh,0.00241,9,0.105,-8.267,1,Lovely Day,75,1977-10-29,0.0324,97.918,4,https://api.spotify.com/v1/tracks/0bRXwKfigvpKZUurwqAlEh,audio_features,spotify:track:0bRXwKfigvpKZUurwqAlEh,0.706
8702,0.233,https://api.spotify.com/v1/audio-analysis/4VginDwYTP2eaHJzO0QMjG,45,0.704,214907,0.758,False,4VginDwYTP2eaHJzO0QMjG,0.00144,0,0.0924,-3.537,1,Circles,27,2019-08-30,0.0402,120.003,4,https://api.spotify.com/v1/tracks/4VginDwYTP2eaHJzO0QMjG,audio_features,spotify:track:4VginDwYTP2eaHJzO0QMjG,0.534
8703,0.0204,https://api.spotify.com/v1/audio-analysis/6OaVWaGfhXn70ZJfdVcabn,5,0.731,218284,0.811,True,6OaVWaGfhXn70ZJfdVcabn,0.0,1,0.411,-3.225,1,NO BYSTANDERS,77,2018-08-03,0.0712,147.045,4,https://api.spotify.com/v1/tracks/6OaVWaGfhXn70ZJfdVcabn,audio_features,spotify:track:6OaVWaGfhXn70ZJfdVcabn,0.426
8704,0.201,https://api.spotify.com/v1/audio-analysis/27a1mYSG5tYg7dmEjWBcmL,7,0.702,198408,0.708,True,27a1mYSG5tYg7dmEjWBcmL,0.0,10,0.118,-5.366,0,CAN'T SAY,81,2018-08-03,0.0547,147.98,4,https://api.spotify.com/v1/tracks/27a1mYSG5tYg7dmEjWBcmL,audio_features,spotify:track:27a1mYSG5tYg7dmEjWBcmL,0.713
8708,0.024,https://api.spotify.com/v1/audio-analysis/4X5f3vT8MRuXF68pfjNte5,5,0.852,233787,0.693,True,4X5f3vT8MRuXF68pfjNte5,0.0,1,0.11,-6.87,1,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",76,2013,0.274,95.967,4,https://api.spotify.com/v1/tracks/4X5f3vT8MRuXF68pfjNte5,audio_features,spotify:track:4X5f3vT8MRuXF68pfjNte5,0.66
8709,0.112,https://api.spotify.com/v1/audio-analysis/1JQ6Xm1JrvHfvAqhl5pwaA,5,0.589,256427,0.384,False,1JQ6Xm1JrvHfvAqhl5pwaA,2.8e-05,10,0.0596,-15.075,0,Easy,76,1977-01-01,0.0332,132.909,4,https://api.spotify.com/v1/tracks/1JQ6Xm1JrvHfvAqhl5pwaA,audio_features,spotify:track:1JQ6Xm1JrvHfvAqhl5pwaA,0.354
8710,0.0823,https://api.spotify.com/v1/audio-analysis/3PUIguYpwKFXmfGD6uU7Jl,6,0.795,196348,0.595,True,3PUIguYpwKFXmfGD6uU7Jl,0.0,1,0.128,-8.073,1,Glad He's Gone,63,2019-09-20,0.0698,91.025,4,https://api.spotify.com/v1/tracks/3PUIguYpwKFXmfGD6uU7Jl,audio_features,spotify:track:3PUIguYpwKFXmfGD6uU7Jl,0.502
8711,0.0422,https://api.spotify.com/v1/audio-analysis/2cGxRwrMyEAp8dEbuZaVv6,23,0.775,337560,0.585,False,2cGxRwrMyEAp8dEbuZaVv6,0.619,10,0.077,-9.516,0,Instant Crush (feat. Julian Casablancas),74,2013-05-17,0.0271,109.942,4,https://api.spotify.com/v1/tracks/2cGxRwrMyEAp8dEbuZaVv6,audio_features,spotify:track:2cGxRwrMyEAp8dEbuZaVv6,0.518
